*Interval,Energy Price
1144,3077.26
1145,2800.24
1146,2746.39
1147,2624.08
1148,2539.82
1149,2318.99
1150,2239.38
1151,2100.63
1152,1999.94
1153,1849.89
1154,1849.77
1155,1849.79
1156,1849.6
1157,1849.27
1158,1849.28
1159,1849.13
1160,1699.5
1161,1699.47
1162,1699.38
1163,1699.32
1164,1699.2
1165,1699.16
1166,1699.12
1167,1699.13
1168,1699.13
1169,1699.28
1170,1714.51
1171,1800.79
1172,1849.85
1173,1999.68
1174,2201.96
1175,2239.19
1176,2239.78
1177,2819.28
1178,2999.85
1179,3415.99
1180,3447.95
1181,3509.79
1182,3769.02
1183,3825.94
1184,3900.14
1185,4155.18
1186,4319
1187,4319.57
1188,4935.3
1189,3825.02
1190,4100.07
1191,4800.07
1192,4800.44
1193,4319.1
1194,4005.45
1195,4319.12
1196,3900.98
1197,3600.72
1198,3659.9
1199,3419.74
1200,3415.74
1201,3414.55
1202,3399.46
1203,3169.51
1204,2999.75
1205,2800.4
1206,2584.55
1207,2559.25
1208,2538.39
1209,2527.51
1210,2411.76
1211,2527.95
1212,2538.08
1213,2538.53
1214,2538.87
1215,2538.5
1216,2539.19
1217,2538.41
1218,2584.81
1219,2929.08
1220,2999.96
1221,3500.06
1222,4068.36
1223,4935.17
1224,5200.29
1225,6400.73
1226,8000.52
1227,8602.83
1228,7570.51
1229,6912.04
1230,5800.43
1231,4989.34
1232,4500.87
1233,4200.03
1234,3869.58
1235,3509.63
1236,3500.07
1237,3492.29
1238,3438.4
1239,3414.74
1240,3148.49
1241,2819.71
1242,2755.6
1243,2584.42
1244,2539.1
1245,2319.52
1246,2239.2
1247,2035.1
1248,1999.92
1249,1849.39
1250,1849.04
1251,1800.86
1252,1739.06
1253,1749.67
1254,1714.86
1255,1701.83
1256,1698.19
1257,1694.76
1258,1694.22
1259,1694.22
1260,1674.85
1261,1674.57
1262,1674.01
1263,1674.21
1264,1674.44
1265,1674.1
1266,1694.27
1267,1699.15
1268,1699.71
1269,1999.06
1270,1999.95
1271,1999.89
1272,2149.03
1273,2559.88
1274,2923.6
1275,3169.42
1276,3370.25
1277,3338.28
1278,3419.03
1279,3659.75
1280,3779.91
1281,3899.03
1282,3659.16
1283,3659.02
1284,3659.28
1285,3509.6
1286,3509.8
1287,3659.57
1288,3750.91
1289,3509.77
1290,3600.92
1291,3659.16
1292,3509.02
1293,3415.67
1294,3415.45
1295,3169.79
1296,3169.5
1297,3000.17
1298,2999.82
1299,2820
1300,2779.65
1301,2539.07
1302,2538.16
1303,2411.98
1304,2239.78
1305,2239.14
1306,2189.44
1307,2189.87
1308,2189.39
1309,2359.56
1310,2411.5
1311,2411.75
1312,2500.37
1313,2359.35
1314,2538.08
1315,2599.24
1316,2819.65
1317,2819.69
1318,2950.03
1319,2869.23
1320,2999.51
1321,3365.56
1322,3853.51
1323,4380.44
1324,4599.46
1325,4270.61
1326,4380.78
1327,4300.65
1328,4100.45
1329,3659.29
1330,3700.47
1331,3419.42
1332,3360.02
1333,3219.49
1334,3169.75
1335,3000.32
1336,2899.3
1337,2624.59
1338,2559.66
1339,2469.57
1340,2251.1
1341,1999.92
1342,1999.63
1343,1999.19
1344,1989.57
1345,1989.29
1346,1869.19
1347,1849.95
1348,1849.57
1349,1849.27
1350,1849.07
1351,1849.03
1352,1699.46
1353,1699.44
1354,1699.26
1355,1699.16
1356,1699.04
1357,1699.08
1358,1698.96
1359,1699.28
1360,1699.3
1361,1699.24
1362,1699.92
1363,1750.17
1364,1849.72
1365,1999.49
1366,2239.49
1367,2239.22
1368,2251.33
1369,2599.46
1370,2999.05
1371,3169.1
1372,3220
1373,3414.7
1374,3419.19
1375,3447.23
1376,3509.47
1377,3600.79
1378,3490.71
1379,3600.76
1380,3659.43
1381,3749.39
1382,3700.1
1383,4200.13
1384,4613.11
1385,3749.4
1386,3900.68
1387,3900.15
1388,3900.23
1389,3659.72
1390,3509.89
1391,3365.34
1392,3169.86
1393,3169.05
1394,3000.45
1395,2969.56
1396,2929.79
1397,2700.59
1398,2584.37
1399,2539.14
1400,2538.34
1401,2500.52
1402,2339.14
1403,2318.04
1404,2239.93
1405,2450.33
1406,2538.14
1407,2538.89
1408,2538.83
1409,2500
1410,2538.02
1411,2799.48
1412,2999.84
1413,3219.02
1414,3500.53
1415,3399.24
1416,3659.44
1417,5402.23
1418,5034.89
1419,6100.06
1420,5509.14
1421,4594.25
1422,3825.54
1423,3883.85
1424,3659.37
1425,3399.94
1426,3414.94
1427,3339.29
1428,3169.28
1429,2999.16
1430,2929.81
1431,2989.91
1432,2819.31
1433,2599.85
1434,2469.95
1435,2400.68
1436,2306.16
1437,2239.17
1438,2035.51
1439,1999.65
1440,1999.47
1441,1714.19
1442,1700.19
1443,1700.54
1444,1698.52
1445,1698.79
1446,1694.38
1447,1674.96
1448,1659.92
1449,1674.32
1450,1650.09
1451,1578.74
1452,1619.45
1453,1619.43
1454,1619.51
1455,1577.83
1456,1623.23
1457,1639.21
1458,1694.34
1459,1699.06
1460,1699.74
1461,1979.86
1462,2102.38
1463,2114
1464,2000.97
1465,2319.73
1466,2868.6
1467,2999.26
1468,3024.3
1469,2999.78
1470,3024.36
1471,3199.24
1472,3328.2
1473,3329
1474,3339.49
1475,3415.25
1476,3415.95
1477,3419.82
1478,3419.92
1479,3447.57
1480,3509.14
1481,3419.86
1482,3447.58
1483,3498.39
1484,3509.02
1485,3447.81
1486,3447.45
1487,3169.71
1488,3100.6
1489,2999.72
1490,2999.18
1491,2750.3
1492,2600
1493,2539.49
1494,2538.72
1495,2499.9
1496,2318.89
1497,2189.64
1498,2189.04
1499,2189.29
1500,2189.11
1501,2333.34
1502,2411.43
1503,2500.99
1504,2527.55
1505,2189.3
1506,2359.73
1507,2527.44
1508,2538.66
1509,2920.1
1510,3000.64
1511,2999.87
1512,3079.52
1513,3758.03
1514,3737
1515,3659.85
1516,3900.26
1517,3662.9
1518,3419.64
1519,3409.19
1520,3409.2
1521,3409.06
1522,3339.89
1523,3339.46
1524,3200.16
1525,3024.71
1526,3024.01
1527,2999.31
1528,2755.54
1529,2599.46
1530,2469.48
1531,2333.16
1532,2200.03
1533,2029.02
1534,1999.71
1535,1999.24
1536,1989.73
1537,1849.37
1538,1800.32
1539,1849.09
1540,1800.81
1541,1815.24
1542,1710.9
1543,1710.13
1544,1699.12
1545,1699.35
1546,1699.18
1547,1699.04
1548,1694.95
1549,1694.64
1550,1694.55
1551,1694.11
1552,1694.99
1553,1694.59
1554,1699.72
1555,1710.19
1556,1710.44
1557,1849.26
1558,1999.2
1559,1999.48
1560,1999.61
1561,2319.07
1562,2919.46
1563,3029.28
1564,3249.41
1565,3339.38
1566,3415.43
1567,3459.85
1568,3601.07
1569,3659.77
1570,3656.91
1571,3700.2
1572,3759.39
1573,3759.89
1574,3759.55
1575,4319.28
1576,5500.92
1577,4319.1
1578,4319.44
1579,4319.46
1580,4000.64
1581,4599.77
1582,4319.42
1583,3742.72
1584,3700.16
1585,3419.22
1586,3277.69
1587,3219.07
1588,3139.11
1589,2845.29
1590,2650.58
1591,2571.63
1592,2561.14
1593,2539.13
1594,2539.11
1595,2561.03
1596,2561.16
1597,2571.12
1598,2650.4
1599,2761.45
1600,2761.38
1601,2740.1
1602,2761.19
1603,2939.51
1604,3029.49
1605,3500.33
1606,3509.3
1607,3419.99
1608,3728.7
1609,4689.7
1610,5645.63
1611,6100.17
1612,5645.69
1613,5000.74
1614,4500.82
1615,4101.44
1616,4000.89
1617,4000.07
1618,3728.87
1619,3419.54
1620,3300.23
1621,3199.14
1622,3202.6
1623,3169.28
1624,3024.42
1625,2761.77
1626,2624.42
1627,2508.43
1628,2469.16
1629,2319.81
1630,2149.86
1631,2149.36
1632,2050.4
1633,1999.52
1634,1999.4
1635,1999.63
1636,1999.55
1637,1999.26
1638,1990.65
1639,1989.23
1640,1849.31
1641,1849.35
1642,1849.14
1643,1849.01
1644,1800.71
1645,1849.06
