Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
      157.00,      500.00,        0.00,        0.00,     1495.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4079.80,     4079.80
      158.00,      500.00,        0.00,        0.00,     1610.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4079.42,     4079.42
      159.00,      195.65,        0.00,        0.00,     1655.00,        0.00,        0.00,      195.65,        0.00,        0.00,        0.00,     4509.05,     4509.05
      160.00,        0.00,        0.00,        0.00,     1655.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4804.84,     4804.84
      161.00,      500.00,        0.00,        0.00,     1770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4179.51,     4179.51
      162.00,        0.00,        0.00,        0.00,     1770.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4919.60,     4919.60
      163.00,        0.00,        0.00,        0.00,     1770.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5955.48,     5955.48
      164.00,        0.00,        0.00,        0.00,     1770.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6029.18,     6029.18
      165.00,        0.00,        0.00,        0.00,     1770.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6029.96,     6029.96
      166.00,        0.00,      500.00,        0.00,     1634.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16000.02,    16000.02
      167.00,        0.00,      500.00,        0.00,     1498.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     9029.54,     9029.54
      168.00,        0.00,      500.00,        0.00,     1362.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10000.22,    10000.22
      169.00,        0.00,      500.00,        0.00,     1226.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16853.33,    16853.33
      170.00,        0.00,      500.00,        0.00,     1090.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20000.00,    20000.00
      171.00,        0.00,      500.00,        0.00,      954.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20000.00,    20000.00
      172.00,        0.00,      500.00,        0.00,      818.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20000.00,    20000.00
      173.00,        0.00,      500.00,        0.00,      683.04,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20000.00,    20000.00
      174.00,        0.00,      500.00,        0.00,      547.17,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20000.00,    20000.00
      175.00,        0.00,      500.00,        0.00,      411.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20000.00,    20000.00
      176.00,        0.00,      500.00,        0.00,      275.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    20000.00,    20000.00
      177.00,        0.00,      500.00,        0.00,      139.57,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8893.42,     8893.42
      178.00,        0.00,      500.00,        0.00,        3.70,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7500.91,     7500.91
      179.00,        0.00,       13.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5060.28,     5060.28
      180.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4499.49,     4499.49
      181.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4389.06,     4389.06
      182.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4386.47,     4386.47
      183.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4389.94,     4389.94
      184.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3600.69,     3600.69
      185.00,        0.00,        0.00,        0.00,      115.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4389.18,     4389.18
      186.00,        0.00,      423.20,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4600.97,     4600.97
      187.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3979.49,     3979.49
      188.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3588.98,     3588.98
      189.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2939.63,     2939.63
      190.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2939.25,     2939.25
      191.00,      500.00,        0.00,        0.00,      345.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2563.00,     2563.00
      192.00,      500.00,        0.00,        0.00,      460.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2514.58,     2514.58
      193.00,        0.00,        0.00,        0.00,      460.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3800.08,     3800.08
      194.00,        0.00,        0.00,        0.00,      460.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3879.21,     3879.21
