Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (Binary),Cool Down Period 1 (MW-h),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase ($/MWh)
       92.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2505.44,     2303.02
       93.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2203.39,     2139.62
       94.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2202.41,     2139.73
       95.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2189.75,     2270.78
       96.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2149.47,     2538.13
       97.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2000.15,     1699.80
       98.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2000.00,     1510.23
       99.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.99,     1619.13
      100.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.84,     1619.02
      101.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.78,     1499.10
      102.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.60,     1499.37
      103.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.47,      999.33
      104.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.30,      999.11
      105.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.58,      513.40
      106.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.63,      599.95
      107.00,      500.00,        0.00,        0.00,      345.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.25,      999.44
      108.00,      500.00,        0.00,        0.00,      460.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.15,      999.57
      109.00,      500.00,        0.00,        0.00,      575.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.59,      999.66
      110.00,      500.00,        0.00,        0.00,      690.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.76,      999.22
      111.00,      500.00,        0.00,        0.00,      805.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1970.25,      999.74
      112.00,      500.00,        0.00,        0.00,      920.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1899.91,      999.58
      113.00,      347.83,        0.00,        0.00,     1000.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     1999.27,     1449.40
      114.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.50,     1990.99
      115.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.82,     2100.04
      116.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2036.46,     2119.60
      117.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2411.13,     2162.84
      118.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2505.74,     2500.51
      119.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2505.60,     2100.04
      120.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2599.08,     2702.56
      121.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3004.73,     3381.90
      122.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3479.68,     3350.62
      123.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3800.48,     3279.54
      124.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3969.92,     3409.73
      125.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3808.95,     3479.02
      126.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3959.77,     3499.14
      127.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4359.94,     3510.54
      128.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4468.07,     3470.92
      129.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4989.35,     3434.06
      130.00,        0.00,        0.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4100.69,     3410.04
      131.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4359.50,     3510.15
      132.00,        0.00,      500.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4989.08,     3500.22
      133.00,        0.00,        0.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4000.37,     3479.88
      134.00,        0.00,      180.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4200.92,     3500.87
      135.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4468.49,     3434.21
      136.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4500.89,     3434.78
      137.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3433.33,     3415.90
      138.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3699.16,     3415.76
      139.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3959.10,     3479.92
      140.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3499.88,     3680.07
      141.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3433.89,     3434.05
      142.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3381.19,     3416.33
      143.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3219.49,     3060.36
      144.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3202.87,     3000.32
      145.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2929.93,     2999.44
      146.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2950.88,     2999.65
      147.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2819.94,     2999.34
      148.00,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2819.08,     3000.38
      149.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2650.19,     2623.04
      150.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2539.60,     2600.07
      151.00,      500.00,        0.00,        0.00,      345.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2529.15,     2361.83
      152.00,      500.00,        0.00,        0.00,      460.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2430.59,     2500.40
      153.00,      500.00,        0.00,        0.00,      575.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2409.11,     2412.58
      154.00,      500.00,        0.00,        0.00,      690.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2409.72,     2412.81
      155.00,      500.00,        0.00,        0.00,      805.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2538.93,     2502.68
      156.00,      500.00,        0.00,        0.00,      920.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2539.61,     2750.63
      157.00,      347.83,        0.00,        0.00,     1000.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     2700.72,     2708.26
      158.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2819.82,     2538.84
      159.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3147.13,     2999.89
      160.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3349.16,     2999.69
      161.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.13,     2999.57
      162.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.85,     3009.74
      163.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3780.74,     3423.16
      164.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4000.60,     3470.03
      165.00,        0.00,        0.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3499.89,     3337.02
      166.00,        0.00,        0.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3849.15,     3337.09
      167.00,        0.00,        0.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3699.45,     3047.23
      168.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4000.54,     2899.87
      169.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4200.19,     3479.60
